"Path_Filename"	"Sample_ID"	"Flag"	"Short_Sample_ID"	"Platform"
"1"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/0041833f-cf3d-48af-aa91-47bf1e7dd2e3/jhu-usc.edu_LUAD.HumanMethylation450.14.lvl-3.TCGA-62-A472-01A-11D-A24I-05.txt"	"TCGA.62.A472.01A.11D.A24I.05"	"1"	"TCGA.62.A472.01"	"HumanMethylation450"
"2"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/00d39e13-eb5c-4b8e-b0f9-e6c3e6649403/jhu-usc.edu_LUAD.HumanMethylation450.8.lvl-3.TCGA-55-7727-01A-11D-2168-05.txt"	"TCGA.55.7727.01A.11D.2168.05"	"1"	"TCGA.55.7727.01"	"HumanMethylation450"
"3"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/00d67f9c-5ed7-4a19-9b79-dc420b5bda7d/jhu-usc.edu_LUAD.HumanMethylation450.9.lvl-3.TCGA-86-8358-01A-11D-2324-05.txt"	"TCGA.86.8358.01A.11D.2324.05"	"1"	"TCGA.86.8358.01"	"HumanMethylation450"
"4"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/00e89334-1e73-4b50-ad85-7956b845bc57/jhu-usc.edu_LUAD.HumanMethylation450.6.lvl-3.TCGA-55-7227-01A-11D-2037-05.txt"	"TCGA.55.7227.01A.11D.2037.05"	"1"	"TCGA.55.7227.01"	"HumanMethylation450"
"5"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/016d6297-6ca9-4da1-8748-f7e3332477da/jhu-usc.edu_LUAD.HumanMethylation450.14.lvl-3.TCGA-55-A4DF-01A-11D-A24I-05.txt"	"TCGA.55.A4DF.01A.11D.A24I.05"	"1"	"TCGA.55.A4DF.01"	"HumanMethylation450"
"6"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/024822aa-8be5-49b3-8fe5-2097306ef8b4/jhu-usc.edu_LUAD.HumanMethylation450.6.lvl-3.TCGA-78-7155-01A-11D-2037-05.txt"	"TCGA.78.7155.01A.11D.2037.05"	"1"	"TCGA.78.7155.01"	"HumanMethylation450"
"7"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/02824ec6-eeff-4bcd-a234-ba17189d73bb/jhu-usc.edu_LUAD.HumanMethylation27.1.lvl-3.TCGA-17-Z039-01A-01D-0752-05.txt"	"TCGA.17.Z039.01A.01D.0752.05"	"0"	"TCGA.17.Z039.01"	"HumanMethylation27."
"8"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/03182b30-1303-4f5e-81ca-9c7812fa9e3e/jhu-usc.edu_LUAD.HumanMethylation27.2.lvl-3.TCGA-35-3615-01A-01D-0945-05.txt"	"TCGA.35.3615.01A.01D.0945.05"	"1"	"TCGA.35.3615.01"	"HumanMethylation27."
"9"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/03415f7d-c6e7-4798-8be7-219cef4d23d9/jhu-usc.edu_LUAD.HumanMethylation450.10.lvl-3.TCGA-55-7995-01A-11D-2185-05.txt"	"TCGA.55.7995.01A.11D.2185.05"	"1"	"TCGA.55.7995.01"	"HumanMethylation450"
"10"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/0402045a-7485-4f88-b400-ed90a3dcf40d/jhu-usc.edu_LUAD.HumanMethylation450.4.lvl-3.TCGA-50-5044-01A-21D-1856-05.txt"	"TCGA.50.5044.01A.21D.1856.05"	"1"	"TCGA.50.5044.01"	"HumanMethylation450"
"11"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/0409e6f7-9592-4154-96b7-e6733c4be395/jhu-usc.edu_LUAD.HumanMethylation450.3.lvl-3.TCGA-75-6211-01A-11D-1756-05.txt"	"TCGA.75.6211.01A.11D.1756.05"	"1"	"TCGA.75.6211.01"	"HumanMethylation450"
"12"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/049098e3-b2e5-4198-af49-21d222dfc304/jhu-usc.edu_LUAD.HumanMethylation27.4.lvl-3.TCGA-38-4627-01A-01D-1205-05.txt"	"TCGA.38.4627.01A.01D.1205.05"	"1"	"TCGA.38.4627.01"	"HumanMethylation27."
"13"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/0586b5e3-7079-44b4-8dee-3b2c671fa65a/jhu-usc.edu_LUAD.HumanMethylation450.2.lvl-3.TCGA-64-5781-01A-01D-1626-05.txt"	"TCGA.64.5781.01A.01D.1626.05"	"1"	"TCGA.64.5781.01"	"HumanMethylation450"
"14"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/05b424e6-0451-4f5a-b357-f6a11d22ac6f/jhu-usc.edu_LUAD.HumanMethylation450.1.lvl-3.TCGA-44-2659-11A-01D-1551-05.txt"	"TCGA.44.2659.11A.01D.1551.05"	"0"	"TCGA.44.2659.11"	"HumanMethylation450"
"15"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/069b5d33-482f-43ad-a36c-6b9517d679ea/jhu-usc.edu_LUAD.HumanMethylation450.6.lvl-3.TCGA-78-7153-01A-11D-2037-05.txt"	"TCGA.78.7153.01A.11D.2037.05"	"1"	"TCGA.78.7153.01"	"HumanMethylation450"
"16"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/069f1bb6-c7f9-46d7-abc4-86ff9e1e3467/jhu-usc.edu_LUAD.HumanMethylation450.16.lvl-3.TCGA-NJ-A4YP-01A-11D-A25R-05.txt"	"TCGA.NJ.A4YP.01A.11D.A25R.05"	"1"	"TCGA.NJ.A4YP.01"	"HumanMethylation450"
"17"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/06f45714-021c-4e12-b973-9f5c53c98ea0/jhu-usc.edu_LUAD.HumanMethylation450.15.lvl-3.TCGA-97-A4M3-01A-11D-A24U-05.txt"	"TCGA.97.A4M3.01A.11D.A24U.05"	"1"	"TCGA.97.A4M3.01"	"HumanMethylation450"
"18"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/07cbcb25-7d24-4540-bcd4-da09ba48a9bf/jhu-usc.edu_LUAD.HumanMethylation450.5.lvl-3.TCGA-55-6984-01A-11D-1947-05.txt"	"TCGA.55.6984.01A.11D.1947.05"	"1"	"TCGA.55.6984.01"	"HumanMethylation450"
"19"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/080b6de9-9a0b-435c-bba7-98ccb2576f12/jhu-usc.edu_LUAD.HumanMethylation450.18.lvl-3.TCGA-L9-A50W-01A-12D-A398-05.txt"	"TCGA.L9.A50W.01A.12D.A398.05"	"1"	"TCGA.L9.A50W.01"	"HumanMethylation450"
"20"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/083bdf70-bd81-4e49-a477-b9b06c70de6c/jhu-usc.edu_LUAD.HumanMethylation450.6.lvl-3.TCGA-55-7573-01A-11D-2037-05.txt"	"TCGA.55.7573.01A.11D.2037.05"	"1"	"TCGA.55.7573.01"	"HumanMethylation450"
"21"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/08e5248a-f8b7-479a-9b0c-b33a981155fd/jhu-usc.edu_LUAD.HumanMethylation450.4.lvl-3.TCGA-44-6775-01A-11D-1856-05.txt"	"TCGA.44.6775.01A.11D.1856.05"	"1"	"TCGA.44.6775.01"	"HumanMethylation450"
"22"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/0bd1bbe5-86da-45e9-bc70-26240d813a70/jhu-usc.edu_LUAD.HumanMethylation450.16.lvl-3.TCGA-NJ-A55O-01A-11D-A25R-05.txt"	"TCGA.NJ.A55O.01A.11D.A25R.05"	"1"	"TCGA.NJ.A55O.01"	"HumanMethylation450"
"23"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/0c4e7160-93fb-4ae2-88c1-ca1628b07a8e/jhu-usc.edu_LUAD.HumanMethylation450.6.lvl-3.TCGA-78-7160-01A-11D-2037-05.txt"	"TCGA.78.7160.01A.11D.2037.05"	"1"	"TCGA.78.7160.01"	"HumanMethylation450"
"24"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/0d178b8e-f5ed-4d8d-9e9d-a900f4e23161/jhu-usc.edu_LUAD.HumanMethylation27.1.lvl-3.TCGA-17-Z013-01A-01D-0752-05.txt"	"TCGA.17.Z013.01A.01D.0752.05"	"0"	"TCGA.17.Z013.01"	"HumanMethylation27."
"25"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/0daa613a-2979-4a2f-a5f7-5fe8b6783575/jhu-usc.edu_LUAD.HumanMethylation450.9.lvl-3.TCGA-62-8395-01A-11D-2324-05.txt"	"TCGA.62.8395.01A.11D.2324.05"	"1"	"TCGA.62.8395.01"	"HumanMethylation450"
"26"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/0e5bb785-8675-4e37-aaa8-849b9dbe85a7/jhu-usc.edu_LUAD.HumanMethylation450.13.lvl-3.TCGA-71-8520-01A-11D-2398-05.txt"	"TCGA.71.8520.01A.11D.2398.05"	"1"	"TCGA.71.8520.01"	"HumanMethylation450"
"27"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/0e6bfd83-3bd3-45ec-ab40-8c734e4b99d0/jhu-usc.edu_LUAD.HumanMethylation450.18.lvl-3.TCGA-55-A57B-01A-12D-A398-05.txt"	"TCGA.55.A57B.01A.12D.A398.05"	"1"	"TCGA.55.A57B.01"	"HumanMethylation450"
"28"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/0f652912-ea09-443a-8105-084ec597fdb0/jhu-usc.edu_LUAD.HumanMethylation27.3.lvl-3.TCGA-05-4250-01A-01D-1104-05.txt"	"TCGA.05.4250.01A.01D.1104.05"	"1"	"TCGA.05.4250.01"	"HumanMethylation27."
"29"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/0ff45b33-af55-4234-9853-72c1cbb335aa/jhu-usc.edu_LUAD.HumanMethylation450.3.lvl-3.TCGA-38-4631-11A-01D-1756-05.txt"	"TCGA.38.4631.11A.01D.1756.05"	"0"	"TCGA.38.4631.11"	"HumanMethylation450"
"30"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/101c9e4a-847e-4d97-8250-05f651524896/jhu-usc.edu_LUAD.HumanMethylation450.3.lvl-3.TCGA-50-5930-11A-01D-1756-05.txt"	"TCGA.50.5930.11A.01D.1756.05"	"0"	"TCGA.50.5930.11"	"HumanMethylation450"
"31"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/102ac851-2f91-4b4f-b83f-93fadbbccd2f/jhu-usc.edu_LUAD.HumanMethylation450.6.lvl-3.TCGA-78-7156-01A-11D-2037-05.txt"	"TCGA.78.7156.01A.11D.2037.05"	"1"	"TCGA.78.7156.01"	"HumanMethylation450"
"32"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/1034ba73-1687-4bb5-aee0-48319848d0c0/jhu-usc.edu_LUAD.HumanMethylation450.7.lvl-3.TCGA-78-7162-01A-21D-2064-05.txt"	"TCGA.78.7162.01A.21D.2064.05"	"1"	"TCGA.78.7162.01"	"HumanMethylation450"
"33"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/10cb65e0-3404-4e77-ab05-98e885b27aff/jhu-usc.edu_LUAD.HumanMethylation450.19.lvl-3.TCGA-49-AARQ-01A-11D-A411-05.txt"	"TCGA.49.AARQ.01A.11D.A411.05"	"1"	"TCGA.49.AARQ.01"	"HumanMethylation450"
"34"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/112a22a6-798b-4ef6-85a9-23885df4fc96/jhu-usc.edu_LUAD.HumanMethylation27.1.lvl-3.TCGA-17-Z047-01A-01D-0752-05.txt"	"TCGA.17.Z047.01A.01D.0752.05"	"0"	"TCGA.17.Z047.01"	"HumanMethylation27."
"35"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/11b57b21-d6f8-44dc-b14b-66600de6602e/jhu-usc.edu_LUAD.HumanMethylation450.10.lvl-3.TCGA-69-7979-01A-11D-2185-05.txt"	"TCGA.69.7979.01A.11D.2185.05"	"1"	"TCGA.69.7979.01"	"HumanMethylation450"
"36"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/11f73106-1436-4b15-aaa1-a537c56d344a/jhu-usc.edu_LUAD.HumanMethylation450.3.lvl-3.TCGA-73-4658-01A-01D-1756-05.txt"	"TCGA.73.4658.01A.01D.1756.05"	"1"	"TCGA.73.4658.01"	"HumanMethylation450"
"37"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/12070f71-6b83-4d80-9952-ee9166fc8648/jhu-usc.edu_LUAD.HumanMethylation450.10.lvl-3.TCGA-86-7954-01A-11D-2185-05.txt"	"TCGA.86.7954.01A.11D.2185.05"	"1"	"TCGA.86.7954.01"	"HumanMethylation450"
"38"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/121bbcda-0ec9-43e6-8202-5c0fb0b14e47/jhu-usc.edu_LUAD.HumanMethylation27.2.lvl-3.TCGA-55-1595-11A-01D-0945-05.txt"	"TCGA.55.1595.11A.01D.0945.05"	"0"	"TCGA.55.1595.11"	"HumanMethylation27."
"39"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/128db414-9dec-4cec-beab-50bc46b0ab12/jhu-usc.edu_LUAD.HumanMethylation450.7.lvl-3.TCGA-44-7671-01A-11D-2064-05.txt"	"TCGA.44.7671.01A.11D.2064.05"	"1"	"TCGA.44.7671.01"	"HumanMethylation450"
"40"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/1345d28f-a20e-4774-9cd6-f1583e9d88df/jhu-usc.edu_LUAD.HumanMethylation27.1.lvl-3.TCGA-17-Z009-01A-01D-0752-05.txt"	"TCGA.17.Z009.01A.01D.0752.05"	"0"	"TCGA.17.Z009.01"	"HumanMethylation27."
"41"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/134b6239-acd2-4d1a-bee2-e40eae180ff1/jhu-usc.edu_LUAD.HumanMethylation450.11.lvl-3.TCGA-J2-8194-01A-11D-2239-05.txt"	"TCGA.J2.8194.01A.11D.2239.05"	"1"	"TCGA.J2.8194.01"	"HumanMethylation450"
"42"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/13919bca-12cc-4941-8a5f-35a8cd19af3a/jhu-usc.edu_LUAD.HumanMethylation450.2.lvl-3.TCGA-05-5429-01A-01D-1626-05.txt"	"TCGA.05.5429.01A.01D.1626.05"	"1"	"TCGA.05.5429.01"	"HumanMethylation450"
"43"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/13d20140-fcda-49ef-b98a-b64d7dcc9734/jhu-usc.edu_LUAD.HumanMethylation450.6.lvl-3.TCGA-55-7281-01A-11D-2037-05.txt"	"TCGA.55.7281.01A.11D.2037.05"	"1"	"TCGA.55.7281.01"	"HumanMethylation450"
"44"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/145d0029-b94d-4b57-b859-149d8a4298bb/jhu-usc.edu_LUAD.HumanMethylation450.19.lvl-3.TCGA-49-AAR3-01A-11D-A411-05.txt"	"TCGA.49.AAR3.01A.11D.A411.05"	"1"	"TCGA.49.AAR3.01"	"HumanMethylation450"
"45"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/1507efe3-8161-424d-b0f2-7d6895f869af/jhu-usc.edu_LUAD.HumanMethylation27.1.lvl-3.TCGA-17-Z035-01A-01D-0752-05.txt"	"TCGA.17.Z035.01A.01D.0752.05"	"0"	"TCGA.17.Z035.01"	"HumanMethylation27."
"46"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/15bbb237-314e-4e31-ab2b-551945171b04/jhu-usc.edu_LUAD.HumanMethylation27.4.lvl-3.TCGA-38-4629-11A-01D-1205-05.txt"	"TCGA.38.4629.11A.01D.1205.05"	"0"	"TCGA.38.4629.11"	"HumanMethylation27."
"47"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/16468220-8726-43bf-b1d4-bb4490f52b82/jhu-usc.edu_LUAD.HumanMethylation450.15.lvl-3.TCGA-86-A4P8-01A-11D-A24U-05.txt"	"TCGA.86.A4P8.01A.11D.A24U.05"	"1"	"TCGA.86.A4P8.01"	"HumanMethylation450"
"48"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/16d01acc-cbf2-4117-ad08-85f594587185/jhu-usc.edu_LUAD.HumanMethylation27.4.lvl-3.TCGA-73-4677-01A-01D-1205-05.txt"	"TCGA.73.4677.01A.01D.1205.05"	"1"	"TCGA.73.4677.01"	"HumanMethylation27."
"49"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/16e871ee-6e24-4976-93b2-e7a4d69d9f09/jhu-usc.edu_LUAD.HumanMethylation450.9.lvl-3.TCGA-62-8402-01A-11D-2324-05.txt"	"TCGA.62.8402.01A.11D.2324.05"	"1"	"TCGA.62.8402.01"	"HumanMethylation450"
"50"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/17031ddd-5f7e-4f2f-8d18-768158d748d5/jhu-usc.edu_LUAD.HumanMethylation450.4.lvl-3.TCGA-44-6776-01A-11D-1856-05.txt"	"TCGA.44.6776.01A.11D.1856.05"	"1"	"TCGA.44.6776.01"	"HumanMethylation450"
"51"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/172d15f6-8ba0-4f62-ad55-057079af5334/jhu-usc.edu_LUAD.HumanMethylation450.8.lvl-3.TCGA-97-7938-01A-11D-2168-05.txt"	"TCGA.97.7938.01A.11D.2168.05"	"1"	"TCGA.97.7938.01"	"HumanMethylation450"
"52"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/17d0b5e5-1846-458c-a038-1d6f2b7d24b7/jhu-usc.edu_LUAD.HumanMethylation450.18.lvl-3.TCGA-L9-A5IP-01A-21D-A398-05.txt"	"TCGA.L9.A5IP.01A.21D.A398.05"	"1"	"TCGA.L9.A5IP.01"	"HumanMethylation450"
"53"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/17e5bd89-1d32-4fc2-b9c8-a1e312aa3a6b/jhu-usc.edu_LUAD.HumanMethylation450.17.lvl-3.TCGA-44-3918-01B-02D-A276-05.txt"	"TCGA.44.3918.01B.02D.A276.05"	"1"	"TCGA.44.3918.01"	"HumanMethylation450"
"54"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/1839e336-ee72-4c8c-9dc1-4495bced4247/jhu-usc.edu_LUAD.HumanMethylation27.4.lvl-3.TCGA-49-4486-01A-01D-1205-05.txt"	"TCGA.49.4486.01A.01D.1205.05"	"1"	"TCGA.49.4486.01"	"HumanMethylation27."
"55"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/184754ad-66c3-474b-bc28-b4f5d7e12203/jhu-usc.edu_LUAD.HumanMethylation27.2.lvl-3.TCGA-55-1596-11A-01D-0945-05.txt"	"TCGA.55.1596.11A.01D.0945.05"	"0"	"TCGA.55.1596.11"	"HumanMethylation27."
"56"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/184cece8-ddb2-4296-93c6-050cbc6e9322/jhu-usc.edu_LUAD.HumanMethylation450.7.lvl-3.TCGA-78-7536-01A-11D-2064-05.txt"	"TCGA.78.7536.01A.11D.2064.05"	"1"	"TCGA.78.7536.01"	"HumanMethylation450"
"57"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/186fa742-3339-421b-bc68-ef69e01b3b38/jhu-usc.edu_LUAD.HumanMethylation27.2.lvl-3.TCGA-55-1594-01A-01D-0945-05.txt"	"TCGA.55.1594.01A.01D.0945.05"	"1"	"TCGA.55.1594.01"	"HumanMethylation27."
"58"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/1896f9eb-e6b6-4ece-9dbc-990fd688f646/jhu-usc.edu_LUAD.HumanMethylation450.4.lvl-3.TCGA-91-6836-01A-21D-1856-05.txt"	"TCGA.91.6836.01A.21D.1856.05"	"1"	"TCGA.91.6836.01"	"HumanMethylation450"
"59"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/18dd30e3-e0f0-441f-b0a9-25eb0786956d/jhu-usc.edu_LUAD.HumanMethylation450.2.lvl-3.TCGA-05-5420-11A-01D-1626-05.txt"	"TCGA.05.5420.11A.01D.1626.05"	"0"	"TCGA.05.5420.11"	"HumanMethylation450"
"60"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/194f1d67-b74c-4520-8304-a7bf96608908/jhu-usc.edu_LUAD.HumanMethylation450.8.lvl-3.TCGA-69-7763-01A-11D-2168-05.txt"	"TCGA.69.7763.01A.11D.2168.05"	"1"	"TCGA.69.7763.01"	"HumanMethylation450"
"61"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/19877d82-4e49-4a30-a092-d4859cb4e240/jhu-usc.edu_LUAD.HumanMethylation450.11.lvl-3.TCGA-95-8039-01A-11D-2239-05.txt"	"TCGA.95.8039.01A.11D.2239.05"	"1"	"TCGA.95.8039.01"	"HumanMethylation450"
"62"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/1a3374f1-0dab-4cf4-81df-8a7c41f1ba08/jhu-usc.edu_LUAD.HumanMethylation450.13.lvl-3.TCGA-55-8620-01A-11D-2398-05.txt"	"TCGA.55.8620.01A.11D.2398.05"	"1"	"TCGA.55.8620.01"	"HumanMethylation450"
"63"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/1afd643a-7be5-4ebb-9794-d25544f76ef4/jhu-usc.edu_LUAD.HumanMethylation450.15.lvl-3.TCGA-97-A4M2-01A-12D-A24U-05.txt"	"TCGA.97.A4M2.01A.12D.A24U.05"	"1"	"TCGA.97.A4M2.01"	"HumanMethylation450"
"64"	"C:/Users/3052092/Documents/GDCdata/TCGA-LUAD/legacy/DNA_methylation/Methylation_beta_value/1b173238-509b-48d9-8c3f-3b3531237495/jhu-usc.edu_LUAD.HumanMethylation27.1.lvl-3.TCGA-17-Z051-01A-01D-0752-05.txt"	"TCGA.17.Z051.01A.01D.0752.05"	"0"	"TCGA.17.Z051.01"	"HumanMethylation27."
